title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
The Shawshank Redemption,Standalone,Warner Bros Discovery,Rent/Buy,278,movie,25.7489,29318,8.7,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,The Shawshank Redemption,47.61604915348995,0.006158414742931643
Forrest Gump,Standalone,Warner Bros Discovery,Netflix,13,movie,16.4452,28908,8.463,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,Forrest Gump,37.832233069118146,0.004893026322697476
Casablanca,Standalone,Warner Bros Discovery,Max,289,movie,4.1686,5819,8.1,/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,Casablanca,24.13352298464989,0.003121305660376368
The Shining,The Shining / Overlook Hotel,Warner Bros Discovery,Rent/Buy,694,movie,11.6801,18372,8.207,/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg,The Shining,32.35828007503583,0.004185053413979145
The Exorcist,The Exorcist,Warner Bros Discovery,Rent/Buy,9552,movie,8.2005,8366,7.74,/5x0CeVHJI8tcDx8tUUwYHQSNILq.jpg,The Exorcist,27.603069768985716,0.003570038985543031
Blade Runner,Blade Runner,Warner Bros Discovery,Rent/Buy,78,movie,8.94,14516,7.943,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,Blade Runner,28.987876876828288,0.0037491428100027966
Deuce Bigalow: European Gigolo,Caddyshack,Warner Bros Discovery,Rent/Buy,11453,movie,3.4757,982,5.304,/yXdQ4UGDFCsPrynJOdIk20AYLus.jpg,Deuce Bigalow: European Gigolo,17.076253517832136,0.0022085547475655695
Chasing Ghosts: Beyond the Arcade,"Oh, God!",Warner Bros Discovery,Rent/Buy,15725,movie,0.3464,34,6.9,/rlmENYfSs1kXOcBYg9BFea7qT24.jpg,Chasing Ghosts,15.690468044350276,0.0020293243863291482
Marine Boy,Standalone,Warner Bros Discovery,Rent/Buy,15286,movie,2.4063,24,5.6,/uNNh4OdS5b6tvWNm6QgghYGU7H5.jpg,마린보이,15.004240008672037,0.0019405711838467005
Michael Collins,Standalone,Warner Bros Discovery,Rent/Buy,1770,movie,4.0625,501,6.9,/brIBbU6t9glEGAKRTJ4PMj9OiDC.jpg,Michael Collins,20.56320371714502,0.0026595389408592077
